Id;OLD_COD_IND;ETAB;COD_IND
87369;21411115;UNIP;232556
87593;20711886;UNIP;146013
89089;21009273;UNIP;177915
89434;436683;UNIP;472824
89463;405059;UNIP;450076
89467;410122;UNIP;454084
89468;414657;UNIP;457390
89470;450165;UNIP;483673
89472;458453;UNIP;490394
89475;462699;UNIP;493904
89480;422357;UNIP;462595
89482;424362;UNIP;464133
89487;415092;UNIP;457659
89490;457043;UNIP;489128
89500;460376;UNIP;491957
89505;450815;UNIP;484226
89509;179029;UNIP;370588
89510;394732;UNIP;442587
89519;450795;UNIP;484207
89527;379954;UNIP;431455
89531;355821;UNIP;414091
89775;506438;UNIP;520993
89776;523195;UNIP;530414
89785;523435;UNIP;530543
89790;525550;UNIP;532056
89791;525555;UNIP;532060
89806;523997;UNIP;530913
89807;485072;UNIP;509415
89809;526194;UNIP;532437
89812;526405;UNIP;532579
89819;525926;UNIP;532287
89824;524676;UNIP;531466
89825;526429;UNIP;532598
89829;526779;UNIP;532878
89833;525471;UNIP;531996
89865;528036;UNIP;533589
89867;528088;UNIP;533614
89868;528143;UNIP;533635
89871;528329;UNIP;533744
89873;528348;UNIP;533760
89875;507740;UNIP;521876
89888;528289;UNIP;533707
89889;528304;UNIP;533722
89894;528553;UNIP;533856
89896;528793;UNIP;534010
89899;528486;UNIP;533808
89911;502044;UNIP;517540
89919;474751;UNIP;502569
89934;479637;UNIP;506598
89935;479706;UNIP;506661
89945;478224;UNIP;505396
89946;479004;UNIP;506071
89947;479098;UNIP;506140
89948;479576;UNIP;506547
89951;520916;UNIP;528853
89952;480088;UNIP;506982
89958;480512;UNIP;507347
89963;480470;UNIP;507313
89964;505337;UNIP;520178
89986;523104;UNIP;530352
89989;505633;UNIP;520417
93798;21515066;UNIP;248393
103171;430619;UNIP;467779
104382;21512598;UNIP;246287
104863;20915200;UNIP;170592
104864;21514669;UNIP;248041
104866;21208803;UNIP;204725
104867;21513119;UNIP;246708
104869;21002786;UNIP;173366
104873;21413998;UNIP;235138
104880;20906770;UNIP;162972
104882;21003584;UNIP;173964
104884;21513695;UNIP;247182
104885;21513110;UNIP;246701
104887;19502598;UNIP;18762
104888;21513182;UNIP;246763
104899;21405709;UNIP;228416
104995;20003036;UNIP;58791
106115;21516265;UNIP;249335
106698;478580;UNIP;505698
106780;21306304;UNIP;215509
108153;20802193;UNIP;148381
108485;21515591;UNIP;248823
108540;21107278;UNIP;190163
108541;21410065;UNIP;231595
108542;21514300;UNIP;247714
108580;21211831;UNIP;207502
108590;21516200;UNIP;249282
109110;21012177;UNIP;180573
109111;21413017;UNIP;234313
109192;20405028;UNIP;104738
109193;21311196;UNIP;219773
109309;21411374;UNIP;232801
109384;21109331;UNIP;192028
109387;21519380;UNIP;252107
109389;21514226;UNIP;247643
109482;19311265;UNIP;14346
109586;21513477;UNIP;246999
109587;21614863;UNIP;261672
109613;21512470;UNIP;246184
109937;21515422;UNIP;248704
110102;20309486;UNIP;96197
110215;21515115;UNIP;248436
110218;21210474;UNIP;206284
110230;21515502;UNIP;248770
110231;21003185;UNIP;173638
110239;21517995;UNIP;250828
110240;21514709;UNIP;248074
110439;21515029;UNIP;248359
110518;21409313;UNIP;230886
110612;20304376;UNIP;91498
110634;21515815;UNIP;249005
110700;21315657;UNIP;223851
110982;21514292;UNIP;247706
111006;21514065;UNIP;247500
111165;21010087;UNIP;178664
111215;21517844;UNIP;250696
111704;21515067;UNIP;248394
111705;21209910;UNIP;205761
111964;555477;UNIP;546990
112132;20303761;UNIP;90933
112580;21311854;UNIP;220352
115190;20904781;UNIP;161659
118318;560656;UNIP;548493
118491;505630;UNIP;520414
118501;563869;UNIP;550770
119386;21516217;UNIP;249299
119506;21618590;UNIP;264312
119508;21009905;UNIP;178500
119509;21616028;UNIP;262526
119510;21618486;UNIP;264237
119512;21616890;UNIP;263220
119513;21616885;UNIP;263216
119514;21510913;UNIP;245040
119515;20703056;UNIP;137834
119516;21214875;UNIP;209985
119517;20304349;UNIP;91472
119518;21613864;UNIP;260915
119520;20003467;UNIP;59191
119521;20410310;UNIP;109567
119522;21617244;UNIP;263460
119523;21606765;UNIP;255726
119524;21623962;UNIP;267655
119526;21612715;UNIP;259994
119528;21617070;UNIP;263352
119529;21103693;UNIP;187672
119531;21103270;UNIP;187346
119532;21409612;UNIP;231155
119533;21612282;UNIP;259661
119534;21615977;UNIP;262484
119535;21604515;UNIP;254258
119537;21616911;UNIP;263240
119538;21410491;UNIP;231980
119539;21617117;UNIP;263377
119540;21309069;UNIP;217832
119541;21003546;UNIP;173934
119542;21604452;UNIP;254199
119543;21513568;UNIP;247071
119545;21409600;UNIP;231149
119546;21617113;UNIP;263373
119547;20904662;UNIP;161593
119548;21606033;UNIP;255224
119549;20100583;UNIP;66764
119550;21310152;UNIP;218822
119551;21620404;UNIP;265444
119552;21623300;UNIP;267153
119553;21409573;UNIP;231125
119554;21623358;UNIP;267203
119556;21605100;UNIP;254658
119557;21507673;UNIP;243086
119558;21213562;UNIP;208775
119560;21617203;UNIP;263434
119565;21618031;UNIP;263997
119566;21612828;UNIP;260078
119567;21613498;UNIP;260636
119568;21411155;UNIP;232593
119569;21310353;UNIP;219012
119570;20405336;UNIP;105014
119572;21612714;UNIP;259993
119573;21616241;UNIP;262698
119574;21617445;UNIP;263597
119575;21614015;UNIP;261028
119576;21611922;UNIP;259393
119577;21612277;UNIP;259657
119579;21604523;UNIP;254266
119580;21614850;UNIP;261660
120041;21614465;UNIP;261368
120042;20506851;UNIP;117908
120043;21212919;UNIP;208238
120045;20001799;UNIP;57630
120046;21307581;UNIP;216470
120048;21614352;UNIP;261274
120049;21504730;UNIP;241245
120050;21613167;UNIP;260358
120053;21201945;UNIP;199332
120054;21616805;UNIP;263159
120055;20900120;UNIP;158273
120056;21001654;UNIP;172491
120058;21208772;UNIP;204696
120061;20901998;UNIP;159791
120062;21410157;UNIP;231687
120064;21404777;UNIP;227736
120065;19910506;UNIP;55671
120066;21409411;UNIP;230978
120067;21104070;UNIP;187975
120068;21621890;UNIP;266276
120111;21003120;UNIP;173600
120579;20902762;UNIP;160279
121132;549745;UNIP;544630
121133;515717;UNIP;525105
121135;524750;UNIP;531524
121165;480397;UNIP;507252
121170;571306;UNIP;555485
121171;503617;UNIP;518847
121174;539298;UNIP;538698
121175;517436;UNIP;526405
121176;524479;UNIP;531298
121183;543905;UNIP;541920
121187;457730;UNIP;489738
121189;553956;UNIP;546330
121210;517607;UNIP;526533
121211;545823;UNIP;542972
121212;444765;UNIP;479336
121214;562420;UNIP;549599
121506;21409200;UNIP;230781
121739;544827;UNIP;542429
121740;18722232;UNIP;4878
121853;21513008;UNIP;246623
121854;21612669;UNIP;259954
121929;21613352;UNIP;260520
121930;20401056;UNIP;101151
121968;565660;UNIP;552031
121983;21514411;UNIP;247820
121984;21605985;UNIP;255187
122018;533243;UNIP;535764
122023;21510277;UNIP;244576
122240;21620808;UNIP;265669
122289;578235;UNIP;558456
122335;21204287;UNIP;201193
122337;579632;UNIP;559060
122420;556636;UNIP;547424
122421;553071;UNIP;546053
122422;547211;UNIP;543694
122423;531134;UNIP;535172
122424;531123;UNIP;535164
122425;531001;UNIP;535117
122426;529455;UNIP;534455
122427;529130;UNIP;534218
122428;524048;UNIP;530958
122429;519700;UNIP;527871
122430;336922;UNIP;400482
122431;507683;UNIP;521824
122439;529095;UNIP;534199
122440;528517;UNIP;533834
122441;510201;UNIP;523415
122480;375623;UNIP;428919
122481;379413;UNIP;431039
122482;388793;UNIP;438630
122483;392566;UNIP;440857
122485;393339;UNIP;441424
122486;501933;UNIP;517452
122487;480575;UNIP;507392
122488;430629;UNIP;467787
122489;440733;UNIP;476204
122490;448014;UNIP;482009
122491;129702;UNIP;332216
122492;325586;UNIP;392180
122493;351620;UNIP;410704
122494;357934;UNIP;415800
122495;155658;UNIP;350537
122496;171820;UNIP;364251
122497;563189;UNIP;550242
122498;556634;UNIP;547422
122502;385516;UNIP;436062
122503;392221;UNIP;440560
122505;493490;UNIP;39791
122506;416593;UNIP;458172
122507;416670;UNIP;458232
122509;424905;UNIP;464576
122510;444314;UNIP;478959
122511;439896;UNIP;475531
122513;303399;UNIP;377839
122514;158818;UNIP;353293
122515;176223;UNIP;368102
122516;348149;UNIP;408868
122517;353003;UNIP;411883
122518;364951;UNIP;420221
122519;25654;UNIP;314651
122520;554799;UNIP;546682
122521;548926;UNIP;544328
122522;548089;UNIP;544066
122539;553591;UNIP;546226
122588;418102;UNIP;459380
122589;395904;UNIP;443567
122591;451881;UNIP;485148
122592;453029;UNIP;486110
122596;485255;UNIP;509561
122597;554133;UNIP;546385
122598;422941;UNIP;463070
122602;424697;UNIP;464401
122603;449019;UNIP;482764
122605;450651;UNIP;484081
122607;455498;UNIP;488098
122608;456099;UNIP;488552
122609;457630;UNIP;489645
122610;460472;UNIP;492041
122611;460581;UNIP;492135
122612;473904;UNIP;501832
122614;501569;UNIP;517182
122615;504753;UNIP;519691
122616;505424;UNIP;520244
122617;505664;UNIP;520444
122618;505708;UNIP;520479
122619;506274;UNIP;520905
122620;508408;UNIP;522418
122621;33762;UNIP;315185
122622;363316;UNIP;419721
122623;378437;UNIP;430218
122624;399809;UNIP;446796
122625;484783;UNIP;509210
122626;486458;UNIP;510030
122639;469033;UNIP;499090
122640;450572;UNIP;484010
122641;346989;UNIP;407934
122643;414548;UNIP;457305
122644;439226;UNIP;474976
122645;450612;UNIP;484047
122658;464182;UNIP;495110
122747;533383;UNIP;535776
122748;534048;UNIP;535865
122749;534749;UNIP;536016
122750;540291;UNIP;539457
122751;541775;UNIP;540507
122753;529760;UNIP;534595
122754;529766;UNIP;534597
122755;529851;UNIP;534624
122756;531160;UNIP;535179
122757;533223;UNIP;535762
122758;464320;UNIP;495227
122762;570906;UNIP;555274
122764;529621;UNIP;534521
122765;531101;UNIP;535144
122769;470145;UNIP;499844
122770;524083;UNIP;530987
122771;553351;UNIP;546129
122772;553739;UNIP;546273
122773;553859;UNIP;546317
122774;556898;UNIP;547486
122776;454323;UNIP;487155
122777;552680;UNIP;545881
122780;522614;UNIP;529993
122782;529405;UNIP;534408
122784;549281;UNIP;544451
122785;550486;UNIP;544984
122786;552771;UNIP;545922
122787;554029;UNIP;546362
122788;565121;UNIP;551633
122790;395632;UNIP;443345
122791;475311;UNIP;503029
122792;558696;UNIP;548099
122793;559296;UNIP;548209
122794;565530;UNIP;551920
122797;443071;UNIP;477860
122798;444866;UNIP;479415
122799;565323;UNIP;551763
122800;451428;UNIP;484753
122801;487757;UNIP;510570
122803;502163;UNIP;517646
122804;504710;UNIP;519652
122805;551411;UNIP;545295
122806;552127;UNIP;545635
122807;554520;UNIP;546523
122808;318582;UNIP;386697
122809;486449;UNIP;510021
122810;504051;UNIP;519112
122811;502043;UNIP;517539
122812;503410;UNIP;518695
122813;523353;UNIP;530481
122814;553454;UNIP;546171
122815;556351;UNIP;547349
122816;506101;UNIP;520773
122817;507729;UNIP;521867
122818;509468;UNIP;523152
122819;450853;UNIP;484257
122820;520435;UNIP;528460
122821;559196;UNIP;548183
122822;565623;UNIP;551998
122824;443394;UNIP;478130
122825;469531;UNIP;499473
122826;476030;UNIP;503608
122827;498811;UNIP;514910
122828;500331;UNIP;516109
122829;503700;UNIP;518913
122830;504464;UNIP;519437
122831;514819;UNIP;524379
122832;521740;UNIP;529430
122833;454292;UNIP;487132
122834;469029;UNIP;499086
122835;476341;UNIP;503870
122836;538260;UNIP;537815
122837;542800;UNIP;188377
122839;547550;UNIP;543810
122840;548367;UNIP;544183
122842;549733;UNIP;544623
122843;550024;UNIP;544716
122844;551157;UNIP;545189
122845;479056;UNIP;506113
122846;482206;UNIP;508200
122847;485226;UNIP;509537
122848;552042;UNIP;545590
122849;552052;UNIP;545599
122850;552238;UNIP;545704
122851;553860;UNIP;546318
122852;554893;UNIP;546763
122853;156001;UNIP;350809
122854;496092;UNIP;512850
122855;498042;UNIP;514349
122856;504167;UNIP;519198
122857;504852;UNIP;519779
122858;438028;UNIP;473959
122859;504509;UNIP;519477
122860;523202;UNIP;530419
122861;525572;UNIP;532077
122862;544300;UNIP;542157
122863;555411;UNIP;546976
122864;555968;UNIP;547211
122865;557912;UNIP;547892
122866;558074;UNIP;547916
122867;562924;UNIP;550025
122868;341691;UNIP;403513
122869;405287;UNIP;450220
122870;411954;UNIP;455490
122871;437383;UNIP;473412
122872;437491;UNIP;473504
122873;545636;UNIP;542863
122874;546049;UNIP;543125
122875;549335;UNIP;544480
122876;550027;UNIP;544718
122877;552281;UNIP;545734
122878;552877;UNIP;545981
122879;556638;UNIP;547426
122881;20315;UNIP;314314
122882;423151;UNIP;463241
122883;438079;UNIP;474003
122899;553034;UNIP;546049
122900;553358;UNIP;546136
122901;553626;UNIP;546241
122970;445202;UNIP;479704
122971;449883;UNIP;483451
122972;462271;UNIP;493553
122973;478278;UNIP;505443
122974;504960;UNIP;519869
122975;507938;UNIP;522053
122976;475412;UNIP;503110
122977;510200;UNIP;523414
122978;339754;UNIP;401943
122990;422326;UNIP;462577
122991;451332;UNIP;484675
122992;462487;UNIP;493739
122993;392869;UNIP;441084
122994;417782;UNIP;459152
122995;431135;UNIP;468241
122996;431697;UNIP;468708
122997;436770;UNIP;472900
122998;438049;UNIP;473977
122999;460626;UNIP;492169
123000;460912;UNIP;492404
123001;477727;UNIP;504991
123002;478142;UNIP;505335
123003;480374;UNIP;507235
123004;494430;UNIP;512570
123005;504661;UNIP;519612
123006;542430;UNIP;541023
123007;544003;UNIP;541988
123008;547146;UNIP;543643
123009;547160;UNIP;543656
123010;553635;UNIP;546247
123011;147489;UNIP;344013
123012;557998;UNIP;547910
123013;557112;UNIP;547615
123014;411617;UNIP;455243
123032;554015;UNIP;546350
123033;554236;UNIP;546410
123034;554452;UNIP;546485
123035;554653;UNIP;546607
123036;554864;UNIP;546737
123037;578723;UNIP;558661
123052;553672;UNIP;546250
123053;554764;UNIP;546658
123054;579856;UNIP;559166
123055;522035;UNIP;529621
123056;545943;UNIP;543068
123057;546180;UNIP;543205
123058;569044;UNIP;554397
123059;567601;UNIP;553423
123060;570298;UNIP;554996
123061;571351;UNIP;555520
123062;572794;UNIP;556207
123063;431022;UNIP;468138
123067;553679;UNIP;546256
123068;554384;UNIP;546443
123069;554847;UNIP;546722
123070;554890;UNIP;546760
123071;558896;UNIP;548117
123072;558073;UNIP;547915
123073;556615;UNIP;547420
123074;553436;UNIP;546167
123075;553192;UNIP;546079
123079;572256;UNIP;555931
123084;533163;UNIP;535759
123085;529846;UNIP;534619
123086;579390;UNIP;558980
123129;21511650;UNIP;245570
123166;514630;UNIP;524245
123167;442792;UNIP;477663
123168;485290;UNIP;509583
123169;418059;UNIP;459354
123170;443903;UNIP;478591
123171;462015;UNIP;493328
123172;463422;UNIP;494504
123173;481196;UNIP;507866
123174;482118;UNIP;508168
123175;486444;UNIP;510016
123176;502079;UNIP;517572
123177;379859;UNIP;431383
123178;435475;UNIP;471800
123179;503181;UNIP;518503
123180;136685;UNIP;335321
123181;462887;UNIP;494048
123182;520501;UNIP;528493
123183;555960;UNIP;547203
123184;423622;UNIP;463577
123186;449783;UNIP;483373
123188;474637;UNIP;502471
123190;508405;UNIP;522415
123191;508909;UNIP;522781
123192;554134;UNIP;546386
123193;556390;UNIP;547354
123199;477660;UNIP;504933
123200;503294;UNIP;518605
123201;508998;UNIP;522848
123202;532583;UNIP;535588
123203;546978;UNIP;543531
123204;546653;UNIP;543401
123205;508745;UNIP;522645
123206;501380;UNIP;517020
123207;465950;UNIP;496534
123208;458912;UNIP;490758
123209;454289;UNIP;487130
123210;411870;UNIP;455438
123211;374630;UNIP;428148
123212;323687;UNIP;390866
123213;171500;UNIP;363964
123214;445541;UNIP;480003
123215;462961;UNIP;494109
123216;509981;UNIP;523357
123217;529646;UNIP;534528
123218;554628;UNIP;546587
123219;557625;UNIP;547814
123335;503607;UNIP;518839
123336;504868;UNIP;519792
123337;505448;UNIP;520265
123360;526324;UNIP;532523
123361;541750;UNIP;540487
123362;550029;UNIP;544720
123363;554802;UNIP;546685
123364;557624;UNIP;547813
123365;571083;UNIP;555373
123366;433036;UNIP;469766
123367;433605;UNIP;470244
123368;438965;UNIP;474758
123369;449084;UNIP;482811
123370;450968;UNIP;484355
123371;451534;UNIP;484843
123373;480620;UNIP;507432
123374;486906;UNIP;510133
123375;498353;UNIP;514607
123376;503304;UNIP;518615
123379;486909;UNIP;510136
123380;501984;UNIP;517490
123381;502820;UNIP;518205
123382;358159;UNIP;415994
123383;485024;UNIP;509379
123384;516572;UNIP;525736
123385;526330;UNIP;532528
123386;543673;UNIP;541751
123387;557042;UNIP;547596
